	E054	E055	E056	E061	E062	E122
ENSG00000000003	6357	1646	2110	8757	39	24191
ENSG00000000005	9	0	0	2	0	0
ENSG00000000419	1164	2823	4857	5447	1524	3747
ENSG00000000457	1304	1228	1092	3590	921	1826
ENSG00000000460	2206	1587	3847	3579	642	4855
ENSG00000000938	3	5	6	10	34232	90
ENSG00000000971	0	1358	1164	269	509	12867
ENSG00000001036	4759	9529	21611	21245	1386	12462
ENSG00000001084	2225	1538	1833	10745	2090	4083
ENSG00000001167	6485	5727	7232	10640	3534	7144
ENSG00000001460	65	3185	3361	6526	247	2787
ENSG00000001461	2685	8333	9906	18288	3443	8055
ENSG00000001497	6003	6096	14780	11554	3451	12144
ENSG00000001561	585	121	6	3	1380	1361
ENSG00000001617	148	3481	11340	125	45	42127
ENSG00000001626	0	0	0	4	0	8
ENSG00000001629	14380	7212	5803	17227	4034	15043
ENSG00000001630	8152	11419	26670	56946	1827	8201
ENSG00000001631	3931	3460	4606	7185	2127	4877
ENSG00000002016	1925	2362	1746	2306	1025	3882
ENSG00000002330	3527	4299	13529	14511	813	14090
ENSG00000002549	4834	6817	11278	21470	4244	26111
ENSG00000002586	8639	51642	109009	128249	10135	76097
ENSG00000002587	76	9	4	24	52	242
ENSG00000002726	2	0	2	4	7	0
ENSG00000002745	2	6	2	0	20	0
ENSG00000002746	210	2013	4715	9	0	0
ENSG00000002822	3398	3593	15600	44847	2212	7488
ENSG00000002834	29660	65043	270139	80282	17663	112704
ENSG00000002919	2321	2195	3610	6738	2118	10473
ENSG00000002933	0	14	0	2	504	0
ENSG00000003056	9078	9959	19866	67251	7214	23456
ENSG00000003096	4101	506	797	2494	28	11322
ENSG00000003137	181	32	211	13	0	126
ENSG00000003147	981	66	53	2829	123	6448
ENSG00000003249	3262	302	403	37271	322	18866
ENSG00000003393	7378	5635	5965	13766	1593	13114
ENSG00000003400	17	34	46	86	4154	13611
ENSG00000003402	2460	4174	7658	4785	13198	47524
ENSG00000003436	7498	11097	20176	2242	29	106388
ENSG00000003509	1548	1354	1366	4188	1316	3204
ENSG00000003756	31972	15718	18463	35458	18356	82688
ENSG00000003987	107	17	0	0	297	211
ENSG00000003989	2087	3909	7957	4945	0	18614
ENSG00000004059	8340	8744	30351	28551	5329	80459
ENSG00000004139	16494	3987	5232	16415	2870	5099
ENSG00000004399	3059	21350	93685	30393	15127	185474
ENSG00000004455	5598	12603	22033	37131	3700	21124
ENSG00000004468	15	0	0	13	1385	13
ENSG00000004478	5205	8096	29366	29408	1368	18984
